loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
2000.0,0.1308,67.47,RENT,71656.0,Not Verified,n,22.31,0.0,0.0,9.0,0.0,6032.0,19.0,f,1040.06,1040.06,1280.48,1280.48,959.94,320.54,0.0,0.0,0.0,67.47,0.0,1.0,Individual,0.0,0.0,22535.0,0.0,4.0,0.0,4.0,15.0,16503.0,54.0,0.0,3.0,1768.0,60.0,6900.0,2.0,0.0,0.0,7.0,2504.0,50.0,98.8,0.0,0.0,92.0,147.0,13.0,13.0,0.0,13.0,13.0,0.0,3.0,5.0,3.0,7.0,8.0,5.0,11.0,5.0,9.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,37387.0,22535.0,4000.0,30487.0,N,N,low_risk
10000.0,0.0646,306.31,RENT,78000.0,Source Verified,n,7.85,0.0,0.0,5.0,0.0,7498.0,11.0,w,5517.98,5517.98,5203.68,5203.68,4482.02,721.66,0.0,0.0,0.0,306.31,0.0,1.0,Individual,0.0,0.0,9783.0,1.0,1.0,1.0,2.0,4.0,2285.0,76.0,0.0,1.0,4345.0,42.0,20600.0,0.0,0.0,0.0,3.0,1957.0,8355.0,34.2,0.0,0.0,28.0,279.0,23.0,4.0,0.0,23.0,22.0,0.0,1.0,4.0,1.0,1.0,3.0,4.0,8.0,4.0,5.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,23600.0,9783.0,12700.0,3000.0,N,N,low_risk
22700.0,0.17739999999999997,573.23,MORTGAGE,55000.0,Source Verified,n,41.98,0.0,0.0,11.0,0.0,27078.0,21.0,w,17530.48,17530.48,10869.0,10869.0,5169.52,5699.48,0.0,0.0,0.0,573.23,0.0,1.0,Joint App,0.0,0.0,82223.0,0.0,4.0,2.0,4.0,9.0,55145.0,64.0,1.0,2.0,19151.0,65.0,40100.0,2.0,0.0,3.0,7.0,10278.0,8971.0,74.1,0.0,0.0,190.0,230.0,12.0,9.0,2.0,12.0,10.0,0.0,2.0,3.0,6.0,8.0,10.0,7.0,9.0,3.0,11.0,0.0,0.0,0.0,3.0,100.0,66.7,0.0,0.0,126822.0,82223.0,34700.0,86722.0,N,N,low_risk
24000.0,0.1308,547.06,RENT,125000.0,Not Verified,n,19.14,0.0,0.0,9.0,0.0,4073.0,22.0,w,4372.45,4372.45,23876.7,23876.7,19627.55,4249.15,0.0,0.0,0.0,547.06,0.0,1.0,Individual,0.0,4258.0,101408.0,1.0,3.0,1.0,3.0,2.0,97335.0,19.0,0.0,1.0,1693.0,23.0,13200.0,1.0,5.0,1.0,4.0,11268.0,5122.0,31.7,0.0,0.0,70.0,49.0,16.0,2.0,2.0,16.0,3.0,0.0,2.0,3.0,3.0,4.0,13.0,6.0,7.0,4.0,9.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,135722.0,101408.0,7500.0,122522.0,N,N,low_risk
17000.0,0.1308,573.46,RENT,95000.0,Source Verified,n,24.34,0.0,1.0,12.0,0.0,3571.0,25.0,w,11762.58,11762.58,8016.09,8016.09,5237.42,2778.67,0.0,0.0,0.0,573.46,0.0,1.0,Individual,0.0,0.0,71429.0,1.0,3.0,2.0,5.0,3.0,67858.0,94.0,2.0,6.0,787.0,54.0,35700.0,1.0,2.0,1.0,11.0,5952.0,15617.0,13.2,0.0,0.0,106.0,69.0,9.0,3.0,0.0,12.0,3.0,0.0,5.0,7.0,7.0,11.0,11.0,9.0,14.0,7.0,12.0,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,114492.0,71429.0,18000.0,78792.0,N,N,low_risk
40000.0,0.1033,856.4,MORTGAGE,195000.0,Not Verified,n,19.02,0.0,0.0,20.0,0.0,39970.0,33.0,w,30076.38,30076.38,15392.24,15392.24,9923.62,5468.62,0.0,0.0,0.0,856.4,0.0,1.0,Individual,0.0,0.0,446459.0,0.0,6.0,1.0,2.0,8.0,21366.0,27.0,0.0,1.0,10349.0,37.0,86300.0,1.0,0.0,3.0,4.0,22323.0,35950.0,51.9,0.0,0.0,186.0,242.0,13.0,7.0,4.0,13.0,8.0,0.0,7.0,9.0,10.0,11.0,14.0,13.0,15.0,9.0,20.0,0.0,0.0,0.0,2.0,100.0,40.0,0.0,0.0,553108.0,61336.0,74800.0,78808.0,N,N,low_risk
3000.0,0.1862,109.4,MORTGAGE,46700.0,Not Verified,n,23.57,0.0,0.0,15.0,1.0,24528.0,29.0,w,0.0,0.0,3713.24,3713.24,3000.0,713.24,0.0,0.0,0.0,1747.14,0.0,1.0,Individual,0.0,0.0,332723.0,2.0,1.0,0.0,1.0,21.0,3295.0,46.0,2.0,8.0,6881.0,56.0,42300.0,1.0,3.0,1.0,11.0,22182.0,3755.0,86.4,0.0,0.0,157.0,179.0,1.0,1.0,4.0,9.0,4.0,0.0,7.0,8.0,8.0,9.0,9.0,13.0,16.0,8.0,15.0,0.0,0.0,0.0,3.0,100.0,75.0,1.0,0.0,354318.0,27823.0,27700.0,7118.0,N,N,low_risk
14000.0,0.08810000000000001,289.33,MORTGAGE,54000.0,Verified,n,17.27,0.0,1.0,13.0,0.0,13295.0,20.0,w,10424.19,10424.19,5190.81,5190.81,3575.81,1615.0,0.0,0.0,0.0,289.33,0.0,1.0,Individual,0.0,0.0,180353.0,1.0,5.0,0.0,0.0,29.0,22551.0,61.0,1.0,4.0,1582.0,63.0,20000.0,1.0,7.0,1.0,5.0,13873.0,1602.0,51.5,0.0,0.0,90.0,92.0,5.0,5.0,1.0,17.0,5.0,0.0,2.0,4.0,2.0,2.0,11.0,7.0,8.0,4.0,13.0,0.0,0.0,0.0,2.0,90.0,50.0,0.0,0.0,202821.0,35846.0,3300.0,36849.0,N,N,low_risk
40000.0,0.1033,856.4,MORTGAGE,82000.0,Not Verified,n,24.48,0.0,0.0,5.0,0.0,43156.0,24.0,w,30116.22,30116.22,15392.24,15392.24,9883.78,5508.46,0.0,0.0,0.0,856.4,0.0,1.0,Individual,0.0,0.0,87679.0,0.0,1.0,0.0,1.0,21.0,25180.0,80.0,0.0,0.0,22234.0,91.0,43600.0,1.0,1.0,1.0,1.0,17536.0,444.0,99.0,0.0,0.0,148.0,357.0,26.0,21.0,1.0,78.0,10.0,0.0,3.0,3.0,3.0,11.0,5.0,3.0,18.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,109558.0,68336.0,43600.0,31592.0,N,N,low_risk
16000.0,0.17739999999999997,576.36,RENT,61000.0,Source Verified,n,16.25,0.0,1.0,5.0,0.0,12748.0,8.0,w,9185.78,9185.78,9458.85,9458.85,6814.22,2644.63,0.0,0.0,0.0,511.66,0.0,1.0,Individual,0.0,0.0,20479.0,0.0,1.0,0.0,2.0,13.0,7731.0,56.0,0.0,0.0,5874.0,76.0,13000.0,0.0,3.0,2.0,2.0,4096.0,227.0,98.0,0.0,0.0,119.0,65.0,37.0,13.0,0.0,37.0,6.0,0.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,26890.0,20479.0,11200.0,13890.0,N,N,low_risk
6000.0,0.16949999999999998,213.77,OWN,70000.0,Not Verified,n,15.19,1.0,0.0,8.0,0.0,3169.0,21.0,w,3376.65,3376.65,3842.21,3842.21,2623.35,1218.86,0.0,0.0,0.0,213.77,0.0,1.0,Individual,0.0,0.0,38815.0,1.0,2.0,0.0,1.0,24.0,34253.0,92.0,2.0,3.0,1643.0,87.0,5800.0,0.0,4.0,2.0,4.0,4852.0,1631.0,66.0,0.0,0.0,118.0,243.0,1.0,1.0,1.0,1.0,7.0,4.0,3.0,3.0,4.0,7.0,7.0,5.0,13.0,3.0,8.0,0.0,0.0,0.0,2.0,71.4,50.0,0.0,0.0,60971.0,37422.0,4800.0,37171.0,N,N,low_risk
10000.0,0.1524,347.83,MORTGAGE,60000.0,Not Verified,n,22.98,0.0,1.0,9.0,0.0,20052.0,11.0,f,5288.32,5288.32,6600.3,6600.3,4711.68,1888.62,0.0,0.0,0.0,347.83,0.0,1.0,Individual,0.0,0.0,49496.0,2.0,2.0,1.0,2.0,4.0,29444.0,85.0,1.0,1.0,9985.0,74.0,32400.0,2.0,0.0,1.0,3.0,6187.0,10400.0,60.8,0.0,0.0,172.0,156.0,5.0,4.0,0.0,5.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,7.0,7.0,4.0,9.0,0.0,0.0,0.0,2.0,100.0,33.3,0.0,0.0,67198.0,49496.0,26500.0,34798.0,N,N,low_risk
14575.0,0.0756,453.78,MORTGAGE,35000.0,Not Verified,n,22.22,0.0,1.0,5.0,0.0,5897.0,7.0,w,7698.87,7698.87,8161.92,8161.92,6876.13,1285.79,0.0,0.0,0.0,453.78,0.0,1.0,Individual,0.0,0.0,107954.0,0.0,1.0,0.0,0.0,37.0,8050.0,54.0,0.0,0.0,4286.0,45.0,16200.0,1.0,0.0,1.0,0.0,21591.0,10303.0,36.4,0.0,0.0,37.0,175.0,30.0,30.0,3.0,30.0,4.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,83.3,66.7,0.0,0.0,150069.0,13947.0,16200.0,15000.0,N,N,low_risk
34050.0,0.14300000000000002,797.59,OWN,90000.0,Source Verified,n,21.92,0.0,2.0,12.0,0.0,34061.0,15.0,w,26351.0,26351.0,14302.52,14302.52,7699.0,6603.52,0.0,0.0,0.0,797.59,0.0,1.0,Individual,0.0,0.0,50637.0,3.0,1.0,1.0,1.0,6.0,16576.0,88.0,2.0,5.0,3585.0,79.0,45500.0,0.0,0.0,2.0,6.0,4220.0,1168.0,89.5,0.0,0.0,92.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,11.0,4.0,5.0,2.0,11.0,13.0,11.0,12.0,0.0,0.0,0.0,3.0,100.0,75.0,0.0,0.0,64316.0,50637.0,11100.0,18816.0,N,N,low_risk
22225.0,0.20550000000000002,595.65,RENT,85000.0,Not Verified,n,37.64,0.0,1.0,8.0,0.0,23663.0,27.0,w,15552.33,15552.33,12901.6,12901.6,6672.67,6228.93,0.0,0.0,0.0,595.65,0.0,1.0,Individual,0.0,0.0,115256.0,1.0,3.0,1.0,1.0,4.0,91593.0,81.0,1.0,1.0,16903.0,66.0,50000.0,1.0,1.0,1.0,2.0,16465.0,23037.0,50.7,0.0,0.0,150.0,208.0,12.0,4.0,1.0,12.0,4.0,0.0,3.0,3.0,3.0,6.0,15.0,5.0,11.0,3.0,8.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,168475.0,115256.0,46700.0,118475.0,N,N,low_risk
10850.0,0.16949999999999998,269.36,OWN,80000.0,Not Verified,n,4.99,0.0,1.0,12.0,1.0,2293.0,49.0,w,9963.46,9963.46,3528.62,3528.62,886.54,2642.08,0.0,0.0,0.0,269.36,0.0,1.0,Individual,0.0,0.0,7648.0,1.0,1.0,1.0,1.0,10.0,5355.0,82.0,3.0,10.0,290.0,42.0,11600.0,6.0,5.0,8.0,11.0,637.0,210.0,58.0,0.0,0.0,123.0,128.0,4.0,4.0,0.0,9.0,6.0,1.0,1.0,3.0,1.0,6.0,14.0,11.0,35.0,3.0,12.0,0.0,0.0,0.0,4.0,97.4,0.0,1.0,0.0,18100.0,7648.0,500.0,6500.0,N,N,low_risk
10500.0,0.11019999999999999,228.41,MORTGAGE,84000.0,Source Verified,n,16.99,0.0,1.0,7.0,0.0,5847.0,9.0,w,7929.42,7929.42,4104.95,4104.95,2570.58,1534.37,0.0,0.0,0.0,228.41,0.0,1.0,Individual,0.0,0.0,209025.0,1.0,4.0,1.0,2.0,6.0,45150.0,77.0,0.0,0.0,3807.0,66.0,18500.0,2.0,0.0,2.0,3.0,29861.0,12653.0,31.6,0.0,0.0,77.0,43.0,33.0,6.0,1.0,33.0,4.0,0.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,239495.0,50997.0,18500.0,59005.0,N,N,low_risk
12500.0,0.0756,389.18,RENT,108000.0,Not Verified,n,10.52,0.0,1.0,11.0,0.0,3523.0,20.0,w,0.0,0.0,13323.36,13323.36,12500.0,823.36,0.0,0.0,0.0,8952.88,0.0,1.0,Individual,0.0,0.0,27911.0,1.0,1.0,1.0,3.0,3.0,24388.0,98.0,1.0,2.0,2028.0,41.0,42400.0,2.0,0.0,3.0,5.0,2537.0,32625.0,7.8,0.0,0.0,121.0,116.0,12.0,3.0,0.0,12.0,3.0,0.0,5.0,7.0,8.0,9.0,8.0,10.0,12.0,7.0,11.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,67400.0,27911.0,35400.0,25000.0,N,N,low_risk
40000.0,0.0819,814.7,MORTGAGE,217000.0,Not Verified,n,17.9,0.0,0.0,20.0,0.0,57295.0,34.0,w,30842.8,30842.8,13831.7,13831.7,9157.2,4674.5,0.0,0.0,0.0,814.7,0.0,1.0,Individual,0.0,0.0,638673.0,1.0,1.0,0.0,0.0,28.0,4058.0,25.0,0.0,1.0,11557.0,64.0,82600.0,1.0,0.0,1.0,2.0,31934.0,13493.0,75.2,0.0,0.0,145.0,346.0,17.0,2.0,9.0,17.0,8.0,2.0,10.0,14.0,10.0,12.0,3.0,15.0,21.0,14.0,20.0,0.0,0.0,0.0,1.0,96.9,60.0,0.0,0.0,853870.0,67941.0,55800.0,16232.0,N,N,low_risk
12000.0,0.11019999999999999,392.98,RENT,106000.0,Not Verified,n,18.54,0.0,0.0,24.0,0.0,23314.0,43.0,w,6535.4,6535.4,7066.29,7066.29,5464.6,1601.69,0.0,0.0,0.0,392.98,0.0,1.0,Individual,0.0,0.0,202741.0,0.0,20.0,0.0,0.0,36.0,179427.0,112.0,1.0,2.0,12307.0,101.0,36800.0,0.0,0.0,1.0,2.0,8448.0,6783.0,74.2,0.0,0.0,169.0,42.0,12.0,12.0,0.0,12.0,12.0,0.0,2.0,4.0,2.0,2.0,39.0,4.0,4.0,4.0,24.0,0.0,0.0,0.0,1.0,100.0,50.0,0.0,0.0,195123.0,202741.0,26300.0,158323.0,N,N,low_risk
15000.0,0.0819,305.52,MORTGAGE,150000.0,Not Verified,n,16.17,0.0,0.0,30.0,0.0,17852.0,65.0,w,11123.34,11123.34,5482.3,5482.3,3876.66,1605.64,0.0,0.0,0.0,305.52,0.0,1.0,Individual,0.0,0.0,333651.0,1.0,18.0,1.0,1.0,7.0,102049.0,73.0,5.0,8.0,10466.0,51.0,95400.0,2.0,7.0,7.0,10.0,11122.0,71175.0,19.4,0.0,0.0,129.0,137.0,8.0,2.0,4.0,8.0,3.0,0.0,2.0,3.0,9.0,12.0,40.0,11.0,21.0,3.0,30.0,0.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,449558.0,119901.0,88300.0,140408.0,N,N,low_risk
5525.0,0.08810000000000001,175.21,OWN,55000.0,Not Verified,n,5.91,0.0,0.0,6.0,0.0,3364.0,13.0,w,2947.07,2947.07,3148.37,3148.37,2577.93,570.44,0.0,0.0,0.0,175.21,0.0,1.0,Individual,0.0,267.0,5704.0,0.0,1.0,0.0,1.0,14.0,2340.0,67.0,0.0,0.0,2603.0,32.0,14200.0,1.0,0.0,0.0,1.0,1141.0,897.0,74.4,0.0,0.0,58.0,363.0,53.0,14.0,0.0,53.0,14.0,0.0,1.0,4.0,2.0,4.0,4.0,5.0,9.0,4.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,17700.0,5704.0,3500.0,3500.0,N,N,low_risk
8275.0,0.1524,287.83,RENT,37000.0,Source Verified,n,16.8,0.0,1.0,8.0,0.0,7776.0,21.0,w,0.0,0.0,9639.36,9639.36,8275.0,1364.36,0.0,0.0,0.0,485.92,0.0,1.0,Individual,0.0,0.0,17286.0,2.0,2.0,0.0,0.0,39.0,9510.0,47.0,3.0,5.0,1982.0,47.0,16900.0,0.0,0.0,2.0,5.0,2469.0,9124.0,46.0,0.0,0.0,60.0,149.0,4.0,4.0,0.0,4.0,0.0,7.0,5.0,5.0,6.0,9.0,2.0,6.0,18.0,5.0,8.0,0.0,0.0,0.0,3.0,61.9,0.0,0.0,0.0,36948.0,17286.0,16900.0,20048.0,N,N,low_risk
6375.0,0.0819,200.33,RENT,91000.0,Not Verified,n,28.26,0.0,1.0,21.0,1.0,7242.0,63.0,w,0.0,0.0,6686.6,6686.6,6375.0,311.6,0.0,0.0,0.0,5291.54,0.0,1.0,Individual,0.0,0.0,42076.0,1.0,3.0,1.0,3.0,11.0,34834.0,61.0,3.0,10.0,3951.0,33.0,71200.0,3.0,3.0,3.0,13.0,2215.0,46134.0,10.1,0.0,0.0,130.0,390.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,6.0,12.0,24.0,10.0,18.0,52.0,6.0,21.0,0.0,0.0,0.0,4.0,100.0,0.0,1.0,0.0,128789.0,42076.0,51300.0,57589.0,N,N,low_risk
8000.0,0.0646,245.05,MORTGAGE,160000.0,Not Verified,n,14.57,0.0,1.0,13.0,0.0,224.0,32.0,w,0.0,0.0,8279.09,8279.09,8000.0,279.09,0.0,0.0,0.0,6811.66,0.0,1.0,Individual,0.0,0.0,453540.0,2.0,4.0,1.0,7.0,6.0,77316.0,52.0,0.0,0.0,205.0,28.0,44700.0,2.0,6.0,2.0,8.0,34888.0,39483.0,0.5,0.0,0.0,171.0,285.0,41.0,2.0,3.0,41.0,3.0,0.0,2.0,3.0,7.0,9.0,19.0,8.0,10.0,3.0,13.0,0.0,0.0,0.0,2.0,93.8,0.0,0.0,0.0,523130.0,77540.0,39700.0,102430.0,N,N,low_risk
